Live/Dead,Day,PMA,Tank,qPCR rep 1 Ct,qPCR rep 2 Ct,qPCR rep 3 Ct,Rep 1 copies/qPCR,Rep 2 copies/qPCR,Rep 3 copies/qPCR,Mean copies/qPCR,Mean copies/liter,qPCR assay Y-intercept,qPCR assay slope,qPCR assay R square
live,1,no,1,25.62,25.536,25.663,157453,166222,153140,158938,15893809,44.13510132,-3.562599897,0.997300029
live,2,no,1,24.785,24.692,24.811,269985,286836,265639,274153,27415340,44.13510132,-3.562599897,0.997300029
live,3,no,1,23.736,23.697,23.866,532057,545697,489055,522270,52226972,44.13510132,-3.562599897,0.997300029
live,5,no,1,21.192,21.185,21.195,2755007,2767261,2748999,2757089,275708892,44.13510132,-3.562599897,0.997300029
live,1,yes,1,32.546,32.388,32.796,1790,1982,1524,1765,176544,44.13510132,-3.562599897,0.997300029
live,2,yes,1,31.257,31.132,31.228,4118,4465,4198,4260,426033,44.13510132,-3.562599897,0.997300029
live,3,yes,1,30.283,30.188,30.294,7729,8220,7676,7875,787470,44.13510132,-3.562599897,0.997300029
live,5,yes,1,30.015,29.975,29.94,9194,9436,9650,9427,942684,44.13510132,-3.562599897,0.997300029
live,1,no,2,22.181,22.262,22.426,1453382,1379377,1240315,1357691,135769138,44.13510132,-3.562599897,0.997300029
live,2,no,2,23.889,23.929,23.964,481874,469614,459230,470240,47023952,44.13510132,-3.562599897,0.997300029
live,3,no,2,23.862,24.002,23.996,490444,448075,449644,462721,46272114,44.13510132,-3.562599897,0.997300029
live,5,no,2,23.74,23.822,23.757,530647,503157,524938,519580,51958040,44.13510132,-3.562599897,0.997300029
live,1,yes,2,27.618,27.745,27.67,43280,39867,41839,41662,4166199,44.13510132,-3.562599897,0.997300029
live,2,yes,2,29.114,29.187,29.363,16457,15695,14010,15387,1538735,44.13510132,-3.562599897,0.997300029
live,3,yes,2,30.126,30.266,30.297,8555,7814,7660,8010,800972,44.13510132,-3.562599897,0.997300029
live,5,yes,2,31.158,31.178,31.349,4390,4336,3882,4203,420263,44.13510132,-3.562599897,0.997300029
live,1,no,3,23.995,23.95,24.048,450135,463322,434964,449474,44947367,44.13510132,-3.562599897,0.997300029
live,2,no,3,24.887,24.999,24.94,252791,235166,244256,244071,24407097,44.13510132,-3.562599897,0.997300029
live,3,no,3,26.003,26.091,26.231,122872,116093,106062,115009,11500911,44.13510132,-3.562599897,0.997300029
live,5,no,3,23.867,23.895,24.038,488655,479881,437552,468696,46869585,44.13510132,-3.562599897,0.997300029
live,1,yes,3,30.348,30.529,30.655,7414,6593,6080,6695,669540,44.13510132,-3.562599897,0.997300029
live,2,yes,3,31.007,31.001,31.166,4841,4862,4369,4690,469047,44.13510132,-3.562599897,0.997300029
live,3,yes,3,31.76,31.86,31.94,2975,2790,2649,2805,280450,44.13510132,-3.562599897,0.997300029
live,5,yes,3,30.24,29.978,30.213,7948,9417,8090,8485,848488,44.13510132,-3.562599897,0.997300029
live,1,no,4,22.444,22.52,22.626,1448757,1378660,1286448,1371288,137128825,44.17839813,-3.527800083,0.997500002
live,2,no,4,23.456,23.499,23.501,748440,727397,726590,734142,73414240,44.17839813,-3.527800083,0.997500002
live,3,no,4,25.003,25.016,24.985,272540,270277,275869,272895,27289520,44.17839813,-3.527800083,0.997500002
live,5,no,4,22.97,22.982,23.108,1027671,1019315,938730,995238,99523835,44.17839813,-3.527800083,0.997500002
live,1,yes,4,26.652,26.872,26.946,92918,80511,76706,83378,8337842,44.17839813,-3.527800083,0.997500002
live,2,yes,4,30.012,29.838,29.983,10366,11613,10567,10848,1084843,44.17839813,-3.527800083,0.997500002
live,3,yes,4,31.63,31.602,31.869,3606,3671,3085,3454,345393,44.17839813,-3.527800083,0.997500002
live,5,yes,4,29.549,29.527,29.761,14023,14229,12215,13489,1348908,44.17839813,-3.527800083,0.997500002
live,1,no,5,24.237,24.215,24.265,449497,455771,441321,448863,44886304,44.17839813,-3.527800083,0.997500002
live,2,no,5,25.344,25.499,25.467,218221,197195,201303,205573,20557316,44.17839813,-3.527800083,0.997500002
live,3,no,5,25.928,26.066,26.069,149019,136203,135905,140376,14037587,44.17839813,-3.527800083,0.997500002
live,5,no,5,25.059,25.047,25.043,262732,264864,265615,264404,26440357,44.17839813,-3.527800083,0.997500002
live,1,yes,5,31.312,30.936,31.174,4438,5672,4855,4988,498798,44.17839813,-3.527800083,0.997500002
live,2,yes,5,31.903,32.008,31.892,3018,2817,3039,2958,295806,44.17839813,-3.527800083,0.997500002
live,3,yes,5,31.588,31.524,31.79,3706,3865,3247,3606,360605,44.17839813,-3.527800083,0.997500002
live,5,yes,5,32.196,32.275,32.313,2492,2367,2308,2389,238918,44.17839813,-3.527800083,0.997500002
live,1,no,6,22.97,23.073,23.061,1027719,960921,968442,985694,98569406,44.17839813,-3.527800083,0.997500002
live,2,no,6,24.293,24.364,24.415,433222,413729,400038,415663,41566281,44.17839813,-3.527800083,0.997500002
live,3,no,6,22.358,22.373,22.628,1531873,1516981,1284647,1444500,144450017,44.17839813,-3.527800083,0.997500002
live,5,no,6,24.54,24.423,24.609,368740,398031,352550,373107,37310702,44.17839813,-3.527800083,0.997500002
live,1,yes,6,29.639,29.438,29.613,13222,15077,13454,13918,1391780,44.17839813,-3.527800083,0.997500002
live,2,yes,6,30.732,30.987,31.029,6479,5487,5339,5769,576863,44.17839813,-3.527800083,0.997500002
live,3,yes,6,31.416,31.559,31.631,4145,3776,3602,3841,384113,44.17839813,-3.527800083,0.997500002
live,5,yes,6,30.921,31.113,30.996,5727,5053,5454,5411,541129,44.17839813,-3.527800083,0.997500002
dead,1,no,7,19.126,18.357,18.434,12627447,20865432,19844236,17779038,1777903833,44.17839813,-3.527800083,0.997500002
dead,2,no,7,19.814,19.828,20.302,6710852,6648886,4895544,6085094,608509367,44.13510132,-3.562599897,0.997300029
dead,3,no,7,21.103,21.036,21.128,2916627,3046313,2870265,2944402,294440158,44.13510132,-3.562599897,0.997300029
dead,5,no,7,21.559,21.568,21.65,2172087,2159706,2048042,2126612,212661163,44.13510132,-3.562599897,0.997300029
dead,1,yes,7,24.47,24.4,24.589,330974,346266,306611,327950,32795009,44.13510132,-3.562599897,0.997300029
dead,2,yes,7,24.897,24.903,25.083,251196,250299,222735,241410,24140999,44.13510132,-3.562599897,0.997300029
dead,3,yes,7,26.667,26.64,26.812,80033,81417,72866,78105,7810489,44.13510132,-3.562599897,0.997300029
dead,5,yes,7,26.329,26.314,26.378,99579,100552,96468,98866,9886649,44.13510132,-3.562599897,0.997300029
dead,1,no,8,25.375,25.364,25.553,184474,185789,164378,178214,17821352,44.13510132,-3.562599897,0.997300029
dead,2,no,8,21.545,21.514,21.62,2192633,2237275,2088417,2172775,217277488,44.13510132,-3.562599897,0.997300029
dead,3,no,8,21.619,21.596,21.726,2089743,2121734,1950670,2054049,205404933,44.13510132,-3.562599897,0.997300029
dead,5,no,8,21.95,22.165,22.04,1687361,1468847,1591793,1582667,158266733,44.13510132,-3.562599897,0.997300029
dead,1,yes,8,31.306,31.157,31.383,3990,4394,3797,4060,406043,44.13510132,-3.562599897,0.997300029
dead,2,yes,8,26.306,26.37,26.463,101020,96941,91322,96428,9642803,44.13510132,-3.562599897,0.997300029
dead,3,yes,8,27.072,26.859,26.93,61588,70662,67522,66591,6659104,44.13510132,-3.562599897,0.997300029
dead,5,yes,8,27.547,27.579,27.705,45308,44371,40898,43526,4352575,44.13510132,-3.562599897,0.997300029
dead,1,no,9,22.63,22.676,22.935,1087378,1055440,892707,1011842,101184167,44.13510132,-3.562599897,0.997300029
dead,2,no,9,20.39,20.37,20.453,4624813,4686284,4440955,4584017,458401717,44.13510132,-3.562599897,0.997300029
dead,3,no,9,22.088,22.132,22.195,1543901,1500526,1440758,1495062,149506163,44.13510132,-3.562599897,0.997300029
dead,5,no,9,22.423,22.403,22.528,1242723,1259441,1161307,1221157,122115663,44.13510132,-3.562599897,0.997300029
dead,1,yes,9,30.384,30.082,30.256,7241,8803,7869,7971,797085,44.13510132,-3.562599897,0.997300029
dead,2,yes,9,24.853,24.899,24.842,258492,250882,260259,256544,25654421,44.13510132,-3.562599897,0.997300029
dead,3,yes,9,27.423,27.345,27.604,49081,51613,43660,48118,4811810,44.13510132,-3.562599897,0.997300029
dead,5,yes,9,27.988,28.042,28.162,34075,32905,30456,32479,3247868,44.13510132,-3.562599897,0.997300029
dead,1,no,10,24.374,24.687,24.58,410857,334940,359200,368332,36833246,44.17839813,-3.527800083,0.997500002
dead,2,no,10,19.969,20.207,20.14,7285513,6237310,6517493,6680105,668010517,44.17839813,-3.527800083,0.997500002
dead,3,no,10,21,21.092,21.22,3718297,3499598,3220157,3479350,347935017,44.17839813,-3.527800083,0.997500002
dead,5,no,10,22.651,22.744,22.803,1265167,1190844,1145907,1200639,120063917,44.17839813,-3.527800083,0.997500002
dead,1,yes,10,30.607,30.868,30.904,7029,5928,5793,6250,624973,44.17839813,-3.527800083,0.997500002
dead,2,yes,10,25.651,25.475,25.458,178572,200302,202617,193830,19383039,44.17839813,-3.527800083,0.997500002
dead,3,yes,10,26.087,26.129,26.368,134342,130692,111850,125628,12562775,44.17839813,-3.527800083,0.997500002
dead,5,yes,10,28.401,28.609,28.533,29660,25910,27214,27595,2759461,44.17839813,-3.527800083,0.997500002
dead,1,no,11,22.846,22.883,22.919,1113936,1087668,1062330,1087978,108797767,44.17839813,-3.527800083,0.997500002
dead,2,no,11,20.795,20.805,20.784,4250461,4221631,4279947,4250679,425067933,44.17839813,-3.527800083,0.997500002
dead,3,no,11,21.751,21.625,21.882,2277057,2471609,2090879,2279848,227984817,44.17839813,-3.527800083,0.997500002
dead,5,no,11,22.073,22.123,22.127,1845773,1786485,1781789,1804682,180468229,44.17839813,-3.527800083,0.997500002
dead,1,yes,11,30.112,30.135,29.983,9711,9565,10563,9946,994625,44.17839813,-3.527800083,0.997500002
dead,2,yes,11,25.215,25.334,25.338,237401,219652,219054,225369,22536884,44.17839813,-3.527800083,0.997500002
dead,3,yes,11,23.977,23.866,23.962,532684,572489,537846,547673,54767317,44.17839813,-3.527800083,0.997500002
dead,5,yes,11,28.234,28.213,28.42,33096,33545,29299,31980,3197967,44.17839813,-3.527800083,0.997500002
dead,1,no,12,22.504,22.545,22.575,1392518,1355959,1330129,1359535,135953521,44.17839813,-3.527800083,0.997500002
dead,2,no,12,20.086,19.984,20.036,6749558,7215236,6975682,6980159,698015850,44.17839813,-3.527800083,0.997500002
dead,3,no,12,20.649,20.951,20.894,4675198,3837833,3982251,4165094,416509358,44.17839813,-3.527800083,0.997500002
dead,5,no,12,22.778,22.806,22.977,1164956,1143839,1023140,1110645,111064488,44.17839813,-3.527800083,0.997500002
dead,1,yes,12,27.476,27.415,27.374,54271,56474,58003,56249,5624930,44.17839813,-3.527800083,0.997500002
dead,2,yes,12,25.594,25.57,25.667,185301,188278,176721,183433,18343334,44.17839813,-3.527800083,0.997500002
dead,3,yes,12,24.914,25.132,25.22,288889,250569,236551,258669,25866948,44.17839813,-3.527800083,0.997500002
dead,5,yes,12,28.471,28.438,28.602,28342,28965,26019,27775,2777535,44.17839813,-3.527800083,0.997500002
no fish_FNC,1,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
no fish_FNC,2,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
no fish_FNC,3,no,13,38.075,38.185,38.515,50,47,38,45,4494,44.13510132,-3.562599897,0.997300029
no fish_FNC,5,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
PCR-NTC,NA,no,NA,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
PCR-NTC,NA,no,NA,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.17839813,-3.527800083,0.997500002
